page,position,title,description
1,1,CITA MISTERIOSA,"Tienes una semana para planear una cita, pero nada de restaurantes, ¡por favor! Deja la imaginación suelta, salte de lo habitual y que sea todo secreto."
1,2,TOP DE MOMENTOS,"Esta noche, por turnos, vamos a compartir nuestro top 5 de recuerdos de pareja dando todos los detalles que podamos."
1,3,PIROPO A DEMANDA,"Escribe 15 frases de amor y escóndelas por toda la casa… cada vez que descubra una, seguro que me muero de amor. Derríteme con tus palabras."
1,4,UN MUERDO,Acércate y dame un muerdo un poquito la oreja. Te voy a hacer temblar.
1,5,PASEO EN PAREJA,"Vamos a pasear de la mano durante una hora por un parque, el bosque, la calle o la playa. Solos tú y yo, no hace falta más."
1,6,REGALO SORPRESA,Hazme un regalo personalizado con el presupuesto más bajo que puedas conseguir. Sorpréndeme y demuéstrame que me conoces mejor que nadie.
1,7,LA CUCHARITA,"Quedémonos dormidos desnudos, haciendo la cucharita. Dejemos que el calor corporal nos abrigue toda la noche."
1,8,NOCHE EN EL COCHE,Convirtamos nuestro coche en un nido para pasar una noche a la luz de la luna. Una noche mágica (aunque estemos estrechos). Romanticismo garantizado bajo las estrellas.
1,9,DESCONECTAR & CONECTAR,"Una noche de desconexión: ni teléfono, ni televisión, ni ordenador. Redescubramos el placer de hablar, leer y de conectar tú y yo."
1,10,SORPRESA SORPRESA,"Organiza una velada romántica perfecta. Yo solo quiero saber la fecha, todo lo demás tiene que ser sorpresa. Hazme soñar."
1,11,COGE EL PARAGUAS,Hagamos una lluvia de ideas de futuros proyectos vitales compartidos. ¡Sueña a lo grande!
1,12,CARTA DE AMOR,Escríbeme una carta de amor sincera y profunda para compartir tus sentimientos. Publícala en redes. Derríteme con tus palabras.
2,1,LISTA DEL AMOR,"Escribe una lista de 15 razones por las que me quieres y dámela. Escríbela con calma, ponle amor."
2,2,CINEFILIA DE AMOR,"Esta noche me toca elegir una comedia o una peli romántica. La veremos sin móviles, juntitos y acurrucados. No te quejes si es una pastelada."
2,3,MASAJE DE ENSUEÑO,"Prepárate para el masaje de tus sueños. Relájate, que yo te cuido."
2,4,ÁLBUM DE RECUERDOS,"Esta noche, pasaremos la velada viendo nuestras mejores fotos y vídeos que hemos compartido. Es una oportunidad de oro para revivir los momentos especiales que hemos vivido."
2,5,UNA DE CAVA,"Compremos una botella de cava del bueno, brindemos y pongamos un objetivo ambicioso de pareja a medio plazo (máximo seis meses). Cuando lo hayamos conseguido, descorcharemos la botella y brindaremos."
2,6,PICASSOS,Cómprame un gran lienzo blanco y algo de pintura. Pintemos un cuadro a cuatro manos esta misma noche y colgémoslo en casa para recordar el momento para siempre.
2,7,SORPRESITA PORQUE SÍ,"El próximo sábado por la noche nos haremos un regalito sorpresa. Sin que sea para celebrar nada, solo por el placer de hacernos felices y vernos sonreír."
2,8,SPA-MÍ,"Organízame una jornada de spa en casa: masaje, mascarilla, baño relajante, música suave y ambiente zen. Mímame de la cabeza a los pies."
2,9,EMOTISTORIA,Envíame un mensaje usando solo emoticonos con el que resumamos nuestra historia. Intentaré adivinar a qué te refieres.
2,10,UN TEST,Busquemos en Internet las 36 preguntas para enamorarse y respondámoslas juntos. A ver cómo nos da la cosa.
2,11,LOS 5 LENGUAJES DEL AMOR,"Esta noche, prepara una conversación intensa basada en los 5 lenguajes del amor. Investiga qué es eso. Yo trataré de adivinar el tuyo."
2,12,PLAYLIST ROMÁNTICA,Haz una lista de reproducción romántica para escuchar durante una noche juntos. Música para nuestros oídos y para el alma.
3,1,PEKÍN EXPRÉS,"Hagamos la maleta, cojamos un billete más barato que haya (da igual adónde) y reservemos allí el fin de semana. Aventura improvisada, ¡allá vamos!"
3,2,MANOS A LA OBRA,"Prepara una tarde sorpresa basada en una actividad creativa en pareja (cocinar, bailar, dibujar, hacer cerámica…). ¡Que se note el arte que llevamos dentro!"
3,3,DE PUNTA EN BLANCO,Hoy nos arreglamos como si fuéramos de boda (y con nocturnidad y alevosía) y cenamos en nuestro restaurante favorito.
3,4,UNA COMIDA (Y SU POSTRE),"En las próximas 2 semanas, tendrías que invitarme a comer un día entre semana… y de paso, que no falte el sobremesa en una habitación de hotel alquilada por horas."
3,5,ABRAZO ETERNO,Abrázame y no me sueltes hasta dentro de 5 minutos.
3,6,CENA SORPRESA,Me rugen las entrañas y me apetece probar algo nuevo esta noche. Tú eliges dónde cenamos. Sorpréndeme.
3,7,MANUALIDADES,"Hazme un regalo casero. No hay nada más bonito que un regalo personalizado, hecho con amor y tus propias manos."
3,8,REGALO PORQUE SÍ,"Hazme un regalo sin que sea una fecha señalada, solo para hacerme feliz. Sorpréndeme con algo que no me espero."
3,9,MIL ROSAS PARA TI,Regálame un ramo de flores o una planta. Sorpréndeme y muéstrame tu lado más romántico.
3,10,PÍCNIC ROMÁNTICO,Prepárame un pícnic de lujo para ver el amanecer o el atardecer en algún lugar precioso.
3,11,"LENTO, LENTO","Pon una canción lenta y bailemos pegados y sin prisa. Estamos tú y yo solos, dando vueltas y sin que importe nada más."
3,12,CINE EN CASA,"Organiza una noche de cine en casa con palomitas, sofá, manta y peli. Pero yo elijo la película."
4,1,PALABRAS DE AMOR,"Vamos a llenar un bote con piropos. Cada vez que nos entre el bajón, podremos elegir una palabra que nos suba la moral."
4,2,UN MENÉITO,Elige una canción sensual que te guste y bailemos lento dándonos besos como si fuera la primera vez.
